,Forager Date
25SQCMICSBBBF0200B331,9/27
25SQCMICSBBE1C500B347,9/27
25SQCMICSBB85D500B140,9/27
25SQCMICSBBBAD300B258,9/27
25SQCMICSBBE21900B343,9/27
25SQCMICSBB247200B23A,9/27
25SQCMICSBB232900B10E,9/27
25SQCMICSBBDB1700B31D,9/27
25SQCMICSBB5A0C00B32E,9/27
25SQCMICSBB3B7000B27D,9/28
25SQCMICSBB394300B1F2,9/28
25SQCMICSBB462A00B25B,9/28
25SQCMICSBBBE0500B28A,9/28
25SQCMICSBBD83300B22F,9/28
25SQCMICSBBB9B700B24A,9/28
25SQCMICSBBA48200B26F,9/28
25SQCMICSBB871F00B23F,9/28
25SQCMICSBB46D700B146,9/29
25SQCMICSBB248B00B2EA,9/29
25SQCMICSBB645C00B26D,9/29
25SQCMICSBB860900B144,9/29
25SQCMICSBBFFD400B252,9/29
25SQCMICSBB7EDB00B28C,9/29
25SQCMICSBB3A6600B106,9/29
25SQCMICSBB264500B25C,9/29
25SQCMICSBBBA6B00B24E,9/29
25SQCMICSBB21E300B273,9/29
25SQCMICSBB783A00B238,9/29
25SQCMICSBBDDB600B28D,9/29
25SQCMICSBB1D6800B28F,9/29
25SQCMICSBB1EB400B28B,9/29
25SQCMICSBB3EE100B236,9/29
25SQCMICSBBC3B600B15C,9/30
25SQCMICSBB1BCC00B134,9/30
25SQCMICSBBE5FF00B248,9/30
25SQCMICSBB00B000B2B1,9/30
25SQCMICSBB65F700B329,10/1
25SQCMICSBB469300B3A9,10/1
25SQCMICSBBFF3800B38D,10/1
25SQCMICSBB63FB00B3A2,10/1
25SQCMICSBB815300B3B6,10/1
25SQCMICSBB190700B3AD,10/1
25SQCMICSBBB8A400B31A,10/1
25SQCMICSBB60DF00B2B0,10/2
25SQCMICSBBBB7900B2DC,10/2
25SQCMICSBB01A200B227,10/2
25SQCMICSBBFFDA0081B5,10/3
25SQCMICSBBBA9C00815B,10/3
25SQCMICSBB19F100815E,10/3
25SQCMICSBBA01400B39D,10/3
25SQCMICSBBBD2E00819B,10/3
25SQCMICSBB1E4300819E,10/3
25SQCMICSBB19FE00B37D,10/3
25SQCMICSBB257500B381,10/3
25SQCMICSBB015A00B311,10/4
25SQCMICSBBE2E000B3B3,10/4
25SQCMICSBBD9D900B3AF,10/4
25SQCMICSBB3C0D008EE4,10/4
25SQCMICSBB26A900B385,10/4
25SQCMICSBBE12900B29A,10/4
25SQCMICSBBA0F800B242,10/5
25SQCMICSBB27AE00B23E,10/5
25SQCMICSBB7FDC00B333,10/5
25SQCMICSBB44E500B30F,10/5
25SQCMICSBB18ED00B22D,10/5
25SQCMICSBB3A6300B32D,10/5
25SQCMICSBBE54700B25E,10/5
25SQCMICSBB9C9E00B2C7,10/6
25SQCMICSBB451A00B380,10/6
25SQCMICSBB796900B24C,10/6
25SQCMICSBB5C4000B2C5,10/7
25SQCMICSBBF83200B359,10/7
25SQCMICSBB796800B3AE,10/8
25SQCMICSBBA11300B224,10/8
25SQCMICSBB5A0900B107,10/9
25SQCMICSBB247600B1D5,10/9
25SQCMICSBB799A0082B0,10/10
25SQCMICSBB1C9700B200,10/10
25SQCMICSBB20F500B10A,10/11
25SQCMICSBBE4A800B1D7,10/11
25SQCMICSBB1F4B00B204,10/11
25SQCMICSBB43BB00B210,10/11
25SQCMICSBB052500B117,10/12
25SQCMICSBB5B0B00B295,10/12
25SQCMICSBBE2F500B29E,10/12
25SQCMICSBB5E7300B12C,10/12
25SQCMICSBB039500B245,10/13
25SQCMICSBBBC2600B203,10/13
25SQCMICSBBA0FC00B1CF,10/13
25SQCMICSBB60DB00B15D,10/13
25SQCMICSBB80B900B216,10/14
25SQCMICSBB015B00B2D7,10/14
25SQCMICSBB7F2400B205,10/14
25SQCMICSBB5F9800B14E,10/14
25SQCMICSBB27EF00B2D8,10/14
25SQCMICSBB621500B1EF,10/14
25SQCMICSBBBD6100B298,10/14
25SQCMICSBB5F6500B251,10/15
25SQCMICSBB47C500B1D0,10/15
25SQCMICSBB19FB00B156,10/15
25SQCMICSBB80BD00B1FB,10/15
25SQCMICSBBFCF100B2C6,10/17
25SQCMICSBBC34F00B1CC,10/17
25SQCMICSBB9A2A00B21A,10/17
25SQCMICSBB015F00B13C,10/17
25SQCMICSBBE67700B387,10/17
25SQCMICSBB843B00B30D,10/17
25SQCMICSBBBB7D00B137,10/18
25SQCMICSBBC66200B218,10/18
25SQCMICSBBC2A000B221,10/18
25SQCMICSBBC25D00B13E,10/19
25SQCMICSBB621100B222,10/19
25SQCMICSBBFB5700B2AF,10/19
25SQCMICSBB980900B293,10/19
25SQCMICSBB7C4400B1F8,10/20
25SQCMICSBB18E900B1E0,10/21
25SQCMICSBBC50600B20A,10/21
25SQCMICSBBD92500B154,10/22
25SQCMICSBB7CF800B201,10/22
25SQCMICSBB23D400B211,10/23
25SQCMICSBB9D7100B12E,10/23
25SQCMICSBB1C6E00B2F0,10/23
